sym,tick,px,tick_bp,adv_hr,ladv
EWTUSDT,0.009999999999990905,104.16,0.9600614439315385,34690.84644396355,4.540214896597835
EWYUSDT,0.009999999999990905,175.35,0.5702879954371773,3719451.372790032,6.570478885220228
EWZUSDT,0.00999999999999801,35.17,2.8433323855553057,11087.962399294,4.044851744521806
FARTCOINUSDT,9.999999999998899e-05,0.3499,2.857959416975964,11958131.006042285,7.077663306977558
FETUSDT,9.999999999998899e-05,0.50845,1.9667617268165796,4591617.228515887,6.661965676760966
FFUSDT,9.999999999996123e-06,0.08057,1.2411567580980667,1690672.2796679006,6.228059432006193
FHEUSDT,9.999999999996226e-06,0.03841,2.6034886748232817,1023622.2522399548,6.010139718324937
FIDAUSDT,9.999999999999593e-06,0.06895499999999999,1.450221158726647,772980.6423974843,5.888168618103033
FIGHTUSDT,1.0000000000001327e-06,0.0038139999999999997,2.6219192448876054,377698.9220944847,5.577145745407124
FILUSDT,0.0008000000000000229,5.062,1.5804030027657503,9466583.377431368,6.97619326431881
FIOUSDT,5.999999999999929e-06,0.01426,4.207573632538519,252738.3225152849,5.4026710986474775
FISUSDT,9.999999999996123e-06,0.02681,3.729951510628916,280011.4018385711,5.447175715823497
FLEXUSDT,0.009999999999990905,121.66,0.8219628472785555,19761.859723917525,4.295827812206597
FLMUSDT,9.999999999998899e-05,0.086,11.627906976742906,1149918.74269843,6.060667152662742
FLNCUSDT,0.00999999999999801,16.36,6.112469437651597,227963.87039411298,5.357866021860912
FLOCKUSDT,9.999999999999593e-06,0.06281,1.5921031682852398,282711.7959640516,5.451343929519656
FLOWUSDT,1.0000000000003062e-05,0.611,0.16366612111297973,1224839.0433417023,6.088079021613785
FLUIDUSDT,0.0009999999999998899,2.1245000000000003,4.706989879971239,221357.86668094658,5.345094960674107
FLUXUSDT,1.0000000000003062e-05,0.198,0.5050505050506597,186807.96481491724,5.271395389032327
FOGOUSDT,2.999999999999531e-06,0.01729,1.7351069982646217,650320.4777342832,5.813127429583755
FOLKSUSDT,0.0009999999999998899,1.876,5.330490405116684,1535316.4153875767,6.186197893360807
FOOTBALLUSDT,0.01999999999998181,538.7,0.37126415444555055,661692.6455208004,5.820656307641202
FORMUSDT,9.999999999998899e-05,0.37385,2.6748696001067,955597.8088440618,5.980275145255296
FORTHUSDT,0.0009999999999998899,1.734,5.767012687427277,149351.80493044222,5.174210475461035
FRAXUSDT,9.999999999998899e-05,0.41855,2.389200812328013,553272.9457969206,5.7429394343956615
FRONTUSDT,9.999999999998899e-05,0.6564,1.5234613040827085,3084751.392441228,6.4892201689392595
FTMUSDT,1.9999999999999185e-05,0.61754,0.32386566052400145,9052908.207525706,6.956788116839381
FTTUSDT,0.001999999999995339,1.59,12.578616352171943,503364.5939875503,5.701882664576256
FUNUSDT,9.999999999999159e-07,0.001972,5.070993914806876,1932746.712100891,6.286174943141593
FUSDT,9.99999999999699e-07,0.006353,1.5740594994486055,630507.0816492738,5.799689968790037
FWDIUSDT,0.0009999999999994458,4.222,2.368545712930947,61689.5565326443,4.790211648244989
FXSUSDT,0.00019999999999997797,2.7366,0.7308338814586639,592515.9688610722,5.772700059483475
GALAUSDT,1.9999999999998318e-06,0.02498,0.8006405124098606,8654028.1109692,6.937218301588263
GALUSDT,0.00010000000000021103,1.996,0.5010020040090734,2105464.780124366,6.32334798100892
GASUSDT,0.0009999999999998899,3.306,3.0248033877794613,2315631.04356558,6.364669363126092
GENIUSUSDT,9.999999999998899e-05,0.3965,2.5220680958383097,874686.8742608642,5.941852609457981
GEVUSDT,0.009999999999990905,1011.645,0.0988489045069259,32145.513305142405,4.507120365042634
GHSTUSDT,9.999999999998899e-05,0.3825,2.614379084967032,128181.16961793393,5.107824230083882
GIGADEVUSDT,0.00999999999999801,63.13,1.5840329478850008,146644.44025947902,5.166265602192805
GIGGLEUSDT,0.00999999999999801,34.18,2.925687536570512,3939692.554267789,6.595462331674624
GLMRUSDT,9.999999999998899e-05,0.2592,3.8580246913576,147446.07471758508,5.1686332153335
GLMUSDT,1.0000000000010001e-05,0.259695,0.38506709794220145,1011972.0856715869,6.005168533051215
GLWUSDT,0.009999999999990905,166.82,0.5994485073726714,712557.2438088311,5.852819759447806
GMEUSDT,0.00999999999999801,21.54,4.642525533889513,20087.003902622288,4.302915163946178
GMTUSDT,9.999999999986616e-06,0.16222,0.6164468006402797,10688744.430503737,7.028926693148058
GMXUSDT,0.001000000000000334,24.086,0.4151789421241941,507638.1885931151,5.705554285746178
GOATUSDT,9.999999999999593e-06,0.054,1.8518518518517764,2911021.4845358315,6.4640454107225365
GOOGLUSDT,0.009999999999990905,354.58500000000004,0.28201982599351083,1125169.795762283,6.0512180653791985
GPSUSDT,1.0000000000001327e-06,0.00969,1.0319917440661843,811337.0668014106,5.90920131763887
GRAMUSDT,0.0009999999999998899,1.4375,6.956521739129669,609954.0806442995,5.785297141119876
GRASSUSDT,9.999999999998899e-05,0.6913,1.446549978301591,1109628.4037049185,6.045177565057325
GRIFFAINUSDT,2.0000000000002655e-06,0.02109,0.9483167377905478,1102060.8611613875,6.042205579031825
GRTUSDT,9.999999999999593e-06,0.13872,0.7208765859284596,2400252.9250806556,6.380257007619645
GRVTUSDT,9.999999999998899e-05,0.28095000000000003,3.5593521978995897,1947401.558782275,6.289455513298029
GSUSDT,0.009999999999990905,1036.72,0.09645806003540884,7181.753039033458,3.85623046684003
